KEY_CODE,HYOSYO,PARENT,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,POP,MALE,FEMALE,HOUSEHOLD,ken,BaseArea,DiffArea
"14137731005","3","141377310",川崎市麻生区,はるひ野５丁目,"0",,,"876","415","461","264","14",214870.861,214870.861
"143640090","2","14364",足柄上郡山北町,湯触,"0",,,"99","50","49","30","14",1149897.820,1260.503
"143820150","2","14382",足柄下郡箱根町,箱根,"0",,,"411","198","213","205","14",11552894.394,7318972.090
"143010060","2","14301",三浦郡葉山町,堀内,"0",,,"8344","3936","4408","3280","14",2486955.829,63538.491
"141310270","2","14131",川崎市川崎区,水江町,"0",,,"0","0","0","0","14",1765101.079,4596.543
"144020020","2","14402",愛甲郡清川村,宮ケ瀬,"0",,,"200","103","97","80","14",32434531.462,32434531.462
"143410160","2","14341",中郡大磯町,黒岩,"0",,,"190","89","101","74","14",1037593.578,944708.588
"141310280","2","14131",川崎市川崎区,東扇島,"0",,,"3","3","0","3","14",4842171.002,7035.705
"14212095003","3","142120950",厚木市,森の里３丁目,"0",,,"1457","718","739","545","14",220839.703,24605.375
"14212095005","3","142120950",厚木市,森の里５丁目,"0",,,"545","280","265","191","14",161698.858,161698.858
"14212095004","3","142120950",厚木市,森の里４丁目,"0",,,"1821","904","917","649","14",263945.608,200287.806
"14205907004","3","142059070",藤沢市,遠藤,"0",,,"6364","3257","3107","2331","14",4280844.916,1441.057
"142140190","2","14214",伊勢原市,子易,"0",,,"670","327","343","212","14",4601930.137,4135727.129
"141510410","2","14151",相模原市緑区,若柳,"0",,,"1323","675","648","549","14",4448536.483,1019224.985
"142010060","2","14201",横須賀市,泊町,"0",,,"0","0","0","0","14",1631659.610,108391.388
"142010430","2","14201",横須賀市,箱崎町,"0",,,"0","0","0","0","14",836992.268,238842.175
"14217011012","3","142170110",南足柄市,狩野,"0",,,"2237","1153","1084","967","14",6223890.778,3887975.652
"141510270","2","14151",相模原市緑区,三井,"0",,,"957","492","465","414","14",3639069.791,4465.608
"143640140","2","14364",足柄上郡山北町,中川,"0",,,"363","157","206","110","14",42774436.299,42774436.299
"141510330","2","14151",相模原市緑区,長竹,"0",,,"2356","1163","1193","877","14",5695753.895,55210.716
"142110700","2","14211",秦野市,栃窪,"0",,,"347","169","178","137","14",758335.185,180953.313
